,1,2,3,4,5,6,7,8,9,10,sum
,0.15,0.03,0.09,0.19,0.12,0.1,0.02,0.08,0.09,0.13,1
,0.1,0.08,0.14,0.1,0.1,0.21,0.05,0.06,0.05,0.11,1
,0.2,0.09,0.09,0.01,0.2,0.01,0.12,0.06,0.18,0.04,1
,0.09,0.14,0.1,0.16,0.04,0.14,0.11,0.05,0.1,0.07,1
,0.07,0.11,0.02,0.14,0.14,0.1,0.18,0.02,0.06,0.16,1
,0.05,0.3,0.03,0.01,0.19,0.01,0.05,0.12,0.14,0.1,1
,0.11,0.01,0.15,0.05,0.09,0.13,0.13,0.09,0.08,0.16,1
,0.21,0.07,0.07,0.04,0.1,0.11,0.19,0.06,0.08,0.07,1
,0.19,0.09,0.15,0.01,0.08,0.02,0.09,0.11,0.14,0.12,1
,0.02,0.22,0.09,0.09,0.13,0.06,0.06,0.15,0.09,0.09,1
,0.15,0.06,0.1,0.03,0.21,0.01,0.14,0.05,0.14,0.01,0.9
,0.15,0.11,0.38,0.01,0.01,0.09,0.01,0.06,0.16,0.02,1
,0.2,0.07,0.14,0.14,0.1,0.01,0.19,0.11,0.01,0.03,1
,0.05,0.11,0.13,0.18,0.23,0.04,0.1,0.09,0.01,0.06,1
,0.11,0.05,0.16,0.24,0.08,0.09,0.09,0.03,0.07,0.08,1
,0.11,0.06,0.08,0.1,0.11,0.18,0.06,0.17,0.08,0.05,1
,0.11,0.21,0.02,0.24,0.01,0.09,0.14,0.06,0.01,0.11,1
,0.04,0.19,0.1,0.08,0.03,0.12,0.11,0.05,0.1,0.18,1
,0.11,0.11,0.13,0.02,0.17,0.07,0.02,0.07,0.17,0.13,1
,0.04,0.29,0.01,0.21,0.05,0.11,0.01,0.01,0.15,0.12,1
,0.06,0.1,0.12,0.09,0.09,0.13,0.04,0.19,0.06,0.12,1
,0.11,0.14,0.14,0.09,0.14,0.03,0.14,0.02,0.13,0.06,1
,0.13,0.02,0.27,0.04,0.17,0.11,0.06,0.05,0.02,0.13,1
,0.07,0.19,0.09,0.08,0.09,0.15,0.03,0.14,0.03,0.13,1
,0.11,0.01,0.17,0.05,0.09,0.13,0.17,0.04,0.04,0.19,1
,0.11,0.13,0.12,0.01,0.04,0.07,0.05,0.13,0.06,0.28,1
,0.09,0.05,0.17,0.1,0.02,0.04,0.08,0.12,0.16,0.17,1
,0.1,0.01,0.08,0.06,0.21,0.02,0.01,0.31,0.11,0.09,1
,0.16,0.16,0.05,0.15,0.15,0.01,0.03,0.13,0.11,0.05,1
,0.01,0.09,0.09,0.18,0.13,0.16,0.06,0.04,0.03,0.21,1
,0.14,0.14,0.09,0.02,0.03,0.17,0.06,0.04,0.03,0.28,1
,0.1,0.14,0.1,0.01,0.18,0.16,0.03,0.17,0.06,0.05,1